EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
AJ133153	free-living	Aphanizomenon sp.	202	 	Lyra	"Int. J. Syst. Evol. Microbiol. 51 (PT 2), 513-526 (2001)"	11321098
AJ133154	free-living	Aphanizomenon flos-aquae	PCC 7905	 	Lyra	"Int. J. Syst. Evol. Microbiol. 51 (PT 2), 513-526 (2001)"	11321098
AJ133161	free-living	Nostoc sp.	152	 	Lyra	"Int. J. Syst. Evol. Microbiol. 51 (PT 2), 513-526 (2001)"	11321098
AJ133163	free-living	Cylindrospermum stagnale 	PCC 7417	 	Lyra	"Int. J. Syst. Evol. Microbiol. 51 (PT 2), 513-526 (2001)"	11321098
AJ293110	free-living	Anabaena cf. cylindrica	133	 	Gugger	"Int. J. Syst. Evol. Microbiol. 52 (PT 5), 1867-1880 (2002)"	12361299
AJ293115	free-living	Dolichospermum macrosporum	PMC9301	 	Gugger	"Int. J. Syst. Evol. Microbiol. 52 (PT 5), 1867-1880 (2002)"	12361299
AJ293119	free-living	Anabaena cf. cylindrica	PMC9705	 	Gugger	"Int. J. Syst. Evol. Microbiol. 52 (PT 5), 1867-1880 (2002)"	12361299
AJ293129	free-living	Aphanizomenon flos-aquae	PMC9706	 	Gugger	"Int. J. Syst. Evol. Microbiol. 52 (PT 5), 1867-1880 (2002)"	12361299
AJ293130	free-living	Aphanizomenon flos-aquae	PMC9707	 	Gugger	"Int. J. Syst. Evol. Microbiol. 52 (PT 5), 1867-1880 (2002)"	12361299
AJ544080	free-living	Nostochopsis lobatus 	92.1	 	Gugger	"Int. J. Syst. Evol. Microbiol. 54 (PT 2), 349-357 (2004)"	15023942
AJ544222	free-living	Westiellopsis sp.	89-785/4	 	Gugger	"Int. J. Syst. Evol. Microbiol. 54 (PT 2), 349-357 (2004)"	15023942
AY112695	Nephroma resupinatum	Nostoc sp.	VI.5	 	Oksanen	"Int. J. Syst. Evol. Microbiol. 54 (PT 3), 765-772 (2004)"	15143022
AY328896	Nephroma expallidum	Nostoc sp.	9.4.22	 	Oksanen	"Int. J. Syst. Evol. Microbiol. 54 (PT 3), 765-772 (2004)"	15143022
AY328897	Nephroma arcticum	Nostoc sp.	113.5	 	Oksanen	"Int. J. Syst. Evol. Microbiol. 54 (PT 3), 765-772 (2004)"	15143022
AY328898	epixylic bryophyte	Nostoc sp.	117.8.2	 	Oksanen	"Int. J. Syst. Evol. Microbiol. 54 (PT 3), 765-772 (2004)"	15143022
AY328899	Lobaria pulmonaria	Nostoc sp.	119.7.1	 	Oksanen	"Int. J. Syst. Evol. Microbiol. 54 (PT 3), 765-772 (2004)"	15143022
AJ630414	free-living	Anabaena cf. cylindrica XP6B	XP6B	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630427	free-living	Anabaena oscillarioides 	BECID32	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630428	free-living	Anabaena oscillarioides 	BO HINDAK 1984/43	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630433	free-living	Anabaena planctonica 	1tu36s8	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630447	free-living	Nostoc calcicola 	III	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630449	free-living	Nostoc edaphicum 	X	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630450	free-living	Nostoc ellipsosporum 	V	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630451	free-living	Nostoc muscorum 	I	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630453	free-living	Nostoc sp.	1tu14s8	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630454	free-living	Trichormus azollae 	Kom BAI/1983	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630456	free-living	Trichormus variabilis str. 'HINDAK 2001/4'	HINDAK 2001/4	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
AJ630458	free-living	Anabaena augstumalis 	SCMIDKE JAHNKE/4a	 	Rajaniemi	"Int. J. Syst. Evol. Microbiol. 55 (PT 1), 11-26 (2005)"	15653847
DQ460700	free-living	Coleofasciculus chthonoplastes 	 	 	Palinska	"Int. J. Syst. Evol. Microbiol. 56 (PT 10), 2253-2263 (2006)"	17012544
